,id,name,position,lastName,age,gender,country,image,Source,worth,worthChange,realTimeWorth,realTimePosition
41,4662,philiPPE Laffont,,,,,,,,,,,
42,7029,phorntheP PHORNPRAPHA & FAMILy,,,,,,,,,,,
43,2814,PIERRE CASTEL & FAMILY,,,,,,,,,,,
44,8963,RAY IRANi,,,,,,,,,,,
45,1324,shojI UEHara,,,,,,,,,,,
46,4770,STEVEN ROTH,,,,,,,,,,,
47,1961,supalucK UMPUJH & FAMILy,,,,,,,,,,,
48,2819,thomAS DUFF,,,,,,,,,,,
49,9150,zakhar SMUShkin,,,,,,,,,,,
50,6193,zhANG ZHONGNENG & Family,,,,,,,,,,,
51,3986,zhU YICAI,,,,,,,,,,,
52,4256,JEFF BEZOs,1.0,bEZOs,54 years old,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,Technology  ==> Amazon,112.0 BUSD,0.0 millions USD,,1.0
53,6708,bill GATES,2.0,gaTES,62 years old,None,United States,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360,Technology  ==> Microsoft,90.0 BUSD,-0.001 millions USD,,2.0
54,7790,warren BUFFETt,3.0,bUFFETt,87 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,Finance and Investments  ==> Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,,3.0
55,2560,bernard Arnault,4.0,arNAUlt,69 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736,Fashion & Retail  ==> LVMH,72.0 BUSD,0.0 millions USD,,4.0
56,5624,mark ZUCKERBERG,5.0,zuCKERBErg,1985,Male,None,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,Technology  ==> Facebook,71.0 BUSD,0.0 millions USD,,5.0
57,2683,amaNCIO ORTEGA,6.0,orTEGA,82 years old,Male,Spain,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019,Fashion & Retail  ==> Zara,70.0 BUSD,0.0 millions USD,,6.0
58,9249,carlos sLIM helu,7.0,sliM HELU,78 years old,M,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990,Telecom  ==> telecom,67.1 BUSD,0.001 millions USD,,7.0
59,8519,chaRLES KOCh,8.0,koCH,82 years old,M,None,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,12.0
60,8377,davID KOCH,9.0,koCH,78 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,13.0
61,7402,larRY ELlison,10.0,ellISOn,73 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,Technology  ==> software,58.5 BUSD,-0.001 millions USD,,8.0
62,1761,MICHAEL BLOOmberg,11.0,bloOMBERG,76 years old,M,None,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,Media & Entertainment  ==> Bloomberg LP,50.0 BUSD,0.0 millions USD,,11.0
63,5863,laRRY PAGe,12.0,paGE,45 years old,M,None,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,Technology  ==> Google,48.8 BUSD,0.0 millions USD,,9.0
64,7349,SERGEY BRIN,13.0,bRIN,44 years old,None,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,Technology  ==> Google,47.5 BUSD,0.0 millions USD,,10.0
65,7520,jIM WALTON,14.0,WALTON,70 years old,None,None,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,Fashion & Retail  ==> Walmart,46.4 BUSD,0.0 millions USD,,19.0
66,2820,s. ROBSON Walton,15.0,walTON,73 years old,Male,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,Fashion & Retail  ==> Walmart,46.2 BUSD,0.0 millions USD,,20.0
67,8847,alICE WALTon,16.0,waLTON,68 years old,F,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,Fashion & Retail  ==> Walmart,46.0 BUSD,0.0 millions USD,,21.0
68,7715,mA HUATENG,17.0,mA,46 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,Technology  ==> internet media,45.3 BUSD,0.001 millions USD,,15.0
69,1206,francoise BETTENCOURT MEyers,18.0,betTENCOURT Meyers,64 years old,F,None,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849,Fashion & Retail  ==> L'Oreal,42.2 BUSD,0.0 millions USD,,14.0
70,4559,mUKESH AMbani,19.0,amBANi,61 years old,M,India,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223,"Energy  ==> petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,,17.0
71,7353,jacK ma,20.0,mA,53 years old,None,China,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18.0
72,2614,sHELDON ADELson,21.0,ADELSON,84 years old,M,USA,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16.0
73,2751,sTEVE BALLMER,22.0,balLMER,62 years old,M,USA,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22.0
74,7322,LI KA-SHING,23.0,LI,90 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24.0
75,5166,hUI KA Yan,24.0,hUI,59 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26.0
76,6260,lee SHAU kee,25.0,LEE,90 years old,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28.0
77,2128,wang JIANlin,26.0,WANG,63 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27.0
78,7174,beate heister & KARL albrecht jr.,27.0,albRECHT jr.,66 years old,,None,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,Fashion & Retail  ==> supermarkets,29.8 BUSD,0.0 millions USD,,29.0
79,2056,PHIL KNIGHT,28.0,KNIGHT,80 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,Fashion & Retail  ==> Nike,29.6 BUSD,0.0 millions USD,,25.0
80,4180,jorGE PAULO Lemann,29.0,LEMANn,78 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,Food and Beverage  ==> beer,27.4 BUSD,-672.311 millions USD,,30.0
81,2284,francoiS PINault,30.0,PINAULt,81 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,Fashion & Retail  ==> luxury goods,27.0 BUSD,0.0 millions USD,,23.0
82,6372,georg SCHAEFfler,31.0,SCHAEFFLER,53 years old,M,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40.0
83,5639,susANNE KLAtten,32.0,klATTEN,56 years old,F,None,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38.0
84,5827,david THOMson,33.0,tHOMSON,61 years old,Male,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32.0
85,7106,jacqUELINE mars,34.0,MARS,78 years old,F,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34.0
86,1968,jOHN MArs,35.0,mARS,82 years old,Male,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,35.0
87,3157,JOSEPH SAFRa,36.0,SAFRA,79 years old,M,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Finance and Investments  ==> banking,23.5 BUSD,0.0 millions USD,,53.0
88,2665,giovANNI FERRERO,37.0,feRRERo,53 years old,M,None,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,"Food and Beverage  ==> Nutella, chocolates",23.0 BUSD,0.0 millions USD,,43.0
89,5469,dietriCH MATEschitz,38.0,maTESCHITz,74 years old,None,Austria,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,Food and Beverage  ==> Red Bull,23.0 BUSD,0.0 millions USD,,33.0
90,5362,michAEL DELL,39.0,dELL,53 years old,M,None,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,Technology  ==> Dell computers,22.7 BUSD,0.0 millions USD,,36.0
91,6392,mASAYOSHI SOn,40.0,sON,60 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,"Telecom  ==> internet, telecom",22.7 BUSD,0.0 millions USD,,42.0
92,8384,sergE DASSault,41.0,daSSAULT,93 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,Diversified  ==> diversified,22.6 BUSD,nan millions USD,,42.0
93,1247,sTEFAN QUANDT,42.0,quANDT,52 years old,Male,None,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,Automotive  ==> BMW,22.0 BUSD,0.0 millions USD,,51.0
94,2459,yang HUIYAN,43.0,YANG,1983,F,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,Real Estate  ==> real estate,21.9 BUSD,0.0 millions USD,,31.0
95,9147,pAUL ALLEN,44.0,alLEn,65 years old,Male,None,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,"Technology  ==> Microsoft, investments",21.7 BUSD,0.0 millions USD,,49.0
96,3242,leonARDO DEL vecchio,45.0,DEL VECchio,83 years old,M,Italy,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail  ==> eyeglasses,21.2 BUSD,0.006 millions USD,,39.0
97,3400,dieter SCHwarz,46.0,scHWArz,78 years old,M,Germany,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail  ==> retail,20.9 BUSD,0.0 millions USD,,79.0
98,4044,thomas PETErffy,47.0,PETERFFy,73 years old,Male,United States,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,Finance and Investments  ==> discount brokerage,20.3 BUSD,0.0 millions USD,,41.0
99,7529,"theo ALBRECHT, Jr.",48.0,aLBRECht,67 years old,Male,None,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,"Fashion & Retail  ==> Aldi, Trader Joe's",20.2 BUSD,0.0 millions USD,,54.0
100,9930,lEN BLAVATNIk,49.0,bLAVATNik,61 years old,M,None,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,Diversified  ==> diversified,20.2 BUSD,-0.001 millions USD,,44.0
101,4082,hE XIANGJIan,50.0,hE,75 years old,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,Manufacturing  ==> home appliances,20.1 BUSD,0.001 millions USD,,47.0
102,6113,lui CHE WOO,51.0,lUI,89 years old,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,Gambling & Casinos  ==> casinos,20.1 BUSD,0.0 millions USD,,46.0
103,2863,jAMES SIMONS,52.0,SIMONS,80 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,Finance and Investments  ==> hedge funds,20.0 BUSD,0.0 millions USD,,50.0
104,9710,henRY Sy,53.0,sY,93 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,Diversified  ==> diversified,20.0 BUSD,0.0 millions USD,,67.0
105,1208,ELON Musk,54.0,MUSK,46 years old,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,Automotive  ==> Tesla Motors,19.9 BUSD,0.0 millions USD,,45.0
106,6141,hINDUJA FAMily,55.0,HINDUJA,,M,UK,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165,Diversified  ==> diversified,19.5 BUSD,0.001 millions USD,,61.0
107,4145,taDASHI YAnai,56.0,yaNAI,69 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501,Fashion & Retail  ==> fashion retail,19.5 BUSD,0.0 millions USD,,37.0
108,4932,VLADIMIR LISIN,57.0,liSIN,62 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,"Metals & Mining  ==> steel, transport",19.1 BUSD,0.0 millions USD,,52.0
109,7912,LAURENE POWELl jobs,58.0,poWELL JOBS,54 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,"Philanthropy/NGO  ==> Apple, Disney",18.8 BUSD,0.0 millions USD,,48.0
110,5446,AZIM PREMJI,59.0,pREMJI,72 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592,Technology  ==> software services,18.8 BUSD,0.0 millions USD,,71.0
111,9408,alexEY MORDAshov,60.0,mORDAShov,52 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667,"Metals & Mining  ==> steel, investments",18.7 BUSD,0.0 millions USD,,60.0
112,3252,LEE KUN-Hee,61.0,LEE,76 years old,None,South Korea,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737,Diversified  ==> Samsung,18.6 BUSD,0.0 millions USD,,62.0
113,6412,lakSHMI MITTAl,62.0,MITTAL,68 years old,M,India,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359,Metals & Mining  ==> steel,18.5 BUSD,0.001 millions USD,,63.0
114,1732,wanG WEi,63.0,WANG,48 years old,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834,Service  ==> package delivery,18.2 BUSD,0.0 millions USD,,64.0
115,2248,leonid MIKHELSon,64.0,mIKHELSon,62 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,"Energy  ==> gas, chemicals",18.0 BUSD,0.0 millions USD,,59.0
116,3612,charoEN SIRIVADHanabhakdi,65.0,sirivadHANabhakdi,74 years old,None,None,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,"Food and Beverage  ==> drinks, real estate",17.9 BUSD,0.0 millions USD,,87.0
117,4337,PALLONJI MISTRy,66.0,mISTRy,89 years old,None,Ireland,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,Construction & Engineering  ==> construction,17.8 BUSD,0.0 millions USD,,57.0
118,2571,ray DALio,67.0,dALIo,68 years old,M,None,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478,Finance and Investments  ==> hedge funds,17.7 BUSD,0.0 millions USD,,68.0
119,9006,takeMITSU TAKIZAKI,68.0,takIZAKI,73 years old,None,None,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,Manufacturing  ==> sensors,17.5 BUSD,0.0 millions USD,,65.0
120,8982,WILLIAM Ding,69.0,DING,46 years old,Male,None,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063,Technology  ==> online games,17.4 BUSD,0.0 millions USD,,80.0
121,5747,R. BUDI HArtono,70.0,HARTOno,77 years old,M,Indonesia,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,"Finance and Investments  ==> banking, tobacco",17.4 BUSD,0.0 millions USD,,91.0
122,8084,gina RINEHArt,71.0,rinEHArt,64 years old,None,None,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995,Metals & Mining  ==> mining,17.4 BUSD,-1.2570000000000001 millions USD,,66.0
123,3867,GERMAN LARREA MOTA VELASCO,72.0,LARREA MOTA VELASCO,64 years old,Male,None,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,Metals & Mining  ==> mining,17.3 BUSD,0.0 millions USD,,86.0
124,1993,carl ICAHn,73.0,icAHN,82 years old,M,None,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,Finance and Investments  ==> investments,16.8 BUSD,0.0 millions USD,,58.0
125,6485,sTEFAN PERSSON,74.0,pERSSON,70 years old,None,Sweden,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,Fashion & Retail  ==> H&M,16.8 BUSD,0.0 millions USD,,78.0
126,8934,michaEL HARTONO,75.0,harTOno,78 years old,Male,Indonesia,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,"Manufacturing  ==> banking, tobacco",16.7 BUSD,0.0 millions USD,,102.0
127,4903,josEPH LAU,76.0,LAU,66 years old,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033,Real Estate  ==> real estate,16.7 BUSD,-0.001 millions USD,,73.0
128,1262,thomas & RAYMONd kwok,77.0,kWOK,,Male,None,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915,Real Estate  ==> real estate,16.5 BUSD,0.0 millions USD,,75.0
129,6987,vagit ALEKPerov,78.0,alEKPEROV,67 years old,M,None,https://specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658,Energy  ==> oil,16.4 BUSD,0.0 millions USD,,69.0
130,6934,jAMES RATCliffe,79.0,raTCLIFFe,65 years old,None,UK,https://specials-images.forbesimg.com/imageserve/5a815b254bbe6f2652f547e0/416x416.jpg?background=000000&cropX1=252&cropX2=2046&cropY1=814&cropY2=2608,Manufacturing  ==> chemicals,16.4 BUSD,0.0 millions USD,,89.0
131,1175,donalD BRen,80.0,BREN,86 years old,M,United States,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,Real Estate  ==> real estate,16.3 BUSD,0.0 millions USD,,76.0
